ID;BESTLOC;GRAMS;portion;EUFDNAME
135;0;45;0;F22D6N3
135;0.0641;45;0.028845;FACIDCTG
135;0.0613;45;0.027585;FAFRE
135;0.0019;45;0.000855;FAMCIS
135;0.0412;45;0.01854;FAPU
135;0.0262;45;0.01179;FAPUN3
135;0.015;45;0.00675;FAPUN6
135;0.0017;45;0.000765;FAS18
135;0.0182;45;0.00819;FASAT
135;0.1;45;0.045;FAT
135;0;45;0;FATRN
135;0.005;45;0.00225;FD
135;0.18;45;0.081;FE
135;0.7;45;0.315;FIBC
135;0.7;45;0.315;FIBINS
135;1.1;45;0.495;FIBT
135;9.65;45;4.3425;FOL
135;0.7;45;0.315;FRUS
135;0.7;45;0.315;GLUS
135;1;45;0;ID
135;221.8;45;99.81;K
135;0;45;0;LACS
135;0;45;0;MALS
135;8.77;45;3.9465;MG
135;0.1;45;0.045;MN
135;0.005;45;0.00225;MO
135;50;45;22;MYRIC
135;2.4;45;1.08;NA
135;6.14;45;2.763;NACL
135;0.2;45;0.09;NIA
135;0.367;45;0.16515;NIAEQ
135;0.1;45;0.045;NT
135;0.24;45;0.108;OA
135;29.3;45;13.185;P
135;0.65;45;0.2925;PROT
135;0.4;45;0.18;PSACNCS
135;50;45;22;QUERCE
135;0;45;0;RETOL
135;0.09;45;0.0405;RIBF
135;0.5;45;0.225;SE
135;0;45;0;STARCH
135;7.8;45;3.51;STERT
135;0;45;0;SUCS
135;1.4;45;0.63;SUGAR
135;0;45;0;SUGOH
135;0.04;45;0.018;THIA
135;10;45;4;TRP
135;11.25;45;5.0625;VITA
135;0;45;0;VITB12
135;8;45;3;VITC
135;0;45;0;VITD
135;0.04;45;0.018;VITE
135;15;45;6;VITK
135;0.04;45;0.018;VITPYRID
135;95;45;42;WATER
135;0.09;45;0.0405;ZN
136;0;345;0;ALC
136;1.344;345;4.6368;ASH
136;116.74;345;402.753;CA
136;1822.9;345;6289.005;CAROTENS
136;60.93;345;210.2085;CARTB
136;13.547;345;46.73715;CHOAVL
136;16.101;345;55.54845;CHOCDF
136;18.91;345;65.2395;CHOLE
136;2.17;345;7.4865;CR
136;0.1746;345;0.60237;CU
136;698.65;345;2410.3425;ENERC
136;1891.026;345;6524.0397;F16D0T
136;2987.069;345;10305.38805;F18D1T
136;692.014;345;2387.4483;F18D2CN6
136;167.126;345;576.5847;F18D3N3
136;9.377;345;32.35065;F20D4N6
136;0.001;345;0.00345;F20D5N3
136;0;345;0;F22D6N3
136;8.567;345;29.55615;FACIDCTG
136;8.244;345;28.4418;FAFRE
136;3.2808;345;11.31876;FAMCIS
136;0.918;345;3.1671;FAPU
136;0.1671;345;0.576495;FAPUN3
136;0.709;345;2.44605;FAPUN6
136;0.9672;345;3.33684;FAS18
136;3.8827;345;13.395315;FASAT
136;8.729;345;30.11505;FAT
136;0.1463;345;0.504735;FATRN
136;0.023;345;0.07935;FD
136;0.774;345;2.6703;FE
136;0.973;345;3.35685;FIBC
136;0.41;345;1.4145;FIBINS
136;0.629;345;2.17005;FIBT
136;8.04;345;27.738;FOL
136;0.449;345;1.54905;FRUS
136;0;345;0;GALS
136;0.34;345;1.173;GLUS
136;14.17;345;48.8865;ID
136;174.15;345;600.8175;K
136;0.879;345;3.03255;LACS
136;0.02;345;0.069;MALS
136;15.506;345;53.4957;MG
136;0.1387;345;0.478515;MN
136;0.0081;345;0.027945;MO
136;11.4;345;39.33;MYRIC
136;207.9;345;717.255;NA
136;529.74;345;1827.603;NACL
136;1.208;345;4.1676;NIA
136;2.859;345;9.86355;NIAEQ
